Project Type,Severity of Problem,Warrantable/Non Warrantable,Type of ORC,Failure Date,Problem Definition (Step-1),Observations (Step-2),System,Sub System,Under Analysis (Step-3),Solution Identification & Release (Step-4),Solution Validation & ORC Closure (Step-5),Solution Implementation (Step-6),Conclusion and Tracking (Step 7),ORC Current Status,Date of ORC Creation,Date to reach at Step 2,Date to reach at Step 3,Date to reach at Step 4,Date to reach at Step 5,Date to reach at Step 6,Date to reach at Step 7,Time to Solution Release (days),Time to Close the ORC (days),Remarks
Regular,4,Warrantable,Build,1-Oct-2020 12:52,Chances of front Wiring harness (near temperature sensor) damage which is very closer to EGR pipe,Chances of front Wiring harness (near temperature sensor) damage which is very closer to EGR pipe,Electrical,,Wrong Clamp used. Corrected L Bracket used and found ok,,Wrong type of L Bracket used in Engine Assembly. Correct L Bracket used in plant tractor as per layout and found OK.,,,Step 7,19-Oct-2020 12:53,19-Oct-2020 12:53,19-Oct-2020 19:10,21-Oct-2020 20:45,23-Oct-2020 18:57,,03-Nov-2020 15:41,4,15,Wrong type of L Bracket used in Engine Assembly. Correct L Bracket used in plant tractor as per layout and found OK.
Regular,4,Warrantable,Build,1-Oct-2020 16:48,Electrical Air clog indicator available in E-bom but no provision in Wiring harness to connect with air clog indicator.,Electrical Air clog indicator available in E-bom but no provision in Wiring harness to connect with air clog indicator.,Electrical,,EBOM updated without 4WD switch. Provision for future use only.,,"As per COE & VA  EBOM is updated with Mechanical clog indicator, hence we are closing the ORC.",,,Step 7,10-Oct-2020 16:48,10-Oct-2020 16:48,10-Oct-2020 17:33,12-Oct-2020 10:11,29-Oct-2020 18:52,,03-Nov-2020 15:38,19,24,"As per COE & VA  EBOM is updated with Mechanical clog indicator, hence we are closing the ORC."
Regular,7,Non Warrantable,LAB,11-Nov-2020 12:46,During test at Tractor Front lifted condition; Suction vacuum observed more than specifications. (With 9 different test iterations),Suction Vacum more against spec.,Hydraulic,HYDRAULIC LINES-FD0310,"ENGINE HIGH IDLE INCRESED BY 200 RPM, DUE TO WHICH PUMP FLOW INCREASED UPTO 3 LPM,  SUCTION PRESSURE INCREASED DUE TO INCREASE IN FLOW.",MAM FILTER HEAD IS ADOPTED AND SUCTION PIPE DIA. INCREASED FROM 25.4 TO 31.8 TO ACCOMDATE THE EXCESS FLOW,modified parts test conducted suction vacuum meet the specification,,,Step 6,08-Dec-2020 12:53,08-Dec-2020 12:54,08-Dec-2020 22:31,16-Dec-2020 18:23,20-Dec-2020 19:15,23-Dec-2020 18:05,,12,,Modified parts test conducted test results ok.
Regular,7,Warrantable,Track,11-Nov-2020 18:22,Fuel leakage observed from fuel tank cap.,Fuel Leakage Observed From Fuel Tank Cap During TT Test,Frontal-System,FUEL TANK ASSEMBLY-FD0402,Multiple trails taken between New fuel cap & neck assembly. Design variation observed in manufacturing for Cap as well as neck.,,Orc Closed Based on COE Remarks - New Part Not Provided for Revalidation,,,Step 7,18-Nov-2020 18:23,18-Nov-2020 18:24,24-Nov-2020 12:20,04-Dec-2020 10:23,06-Dec-2020 15:41,,29-Jan-2021 15:19,18,72,Orc Closed Based on COE Remarks - New Part Not Provided for Revalidation
Regular,5,Non Warrantable,Build,7-Jan-2020 8:53,IDENTIFICATION MARK REQUIRED ON SPEED INNER CAM.,IDENTIFICATION MARK REQUIRED ON SPEED INNER CAM.,Transmission,,"As per Image attached in ORC, 'YN28' emboss given in Inner CAM 0065220085Y01 in drawing",,As per COE & VA identification mark given in latest drawing,,,Step 7,09-Sep-2020 21:24,10-Sep-2020 02:39,11-Sep-2020 08:54,28-Sep-2020 15:47,28-Sep-2020 19:48,,11-Nov-2020 18:35,19,63,As per COE & VA identification mark given in latest drawing
Regular,6,Non Warrantable,Field,13-10-2020 12:00:00 AM,EXHAUST MANIFOLD NUT LOOSENED AND FALLEN IN FIELD.,Pls refer the attached photos - Nut fallen in field during puddling application.,Engine,EXHAUST SYSTEM-FD060101,"1. Failure observed tractor was applied with 35 - 40 Nm
2.The exhaust stud nut has not loosened after completing 190 hrs ( ORC observed at 60 th hr) and the ORC can be closed as Incidence.",,"As per COE & VA confirmation, ORC closed.",,,Step 7,15-Oct-2020 08:24,15-Oct-2020 13:56,15-Oct-2020 18:35,07-Dec-2020 18:41,08-Dec-2020 13:23,,12-Dec-2020 15:01,54,58,
Regular,5,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, RH SIDE FENDER TO FOOT STEP MOUNTING BOLT HOLE MISS MATCH.",NA,Rear-System,FENDER ASSEMBLY-FD0407,Part non confiormance fender and floor assy existing production only ROPS is new.,,Based on COE Feedback with attached mail ORC is closed.,,,Step 7,17-May-2021 17:53,18-May-2021 01:59,19-May-2021 13:37,25-Jun-2021 13:48,25-Jun-2021 14:09,,15-Jul-2021 10:14,39,59,Based on COE Feedback with attached mail ORC is closed.
Regular,5,Warrantable,Track,24-Dec-2020 18:1,Fuel Leakage from Fuel Tank Cap after 20 cycles of RC Test on YNXT 28 HP Tractor,Fuel Leakage from Fuel Tank Cap - Photos Attached,Frontal-System,,Wrong part of cap used. Request team to replace the cap witrh recommended Chrome plated cap 007640828Y91 for this model.,,Repeated Orc - 000403 - Orc Closed,,,Step 7,28-Dec-2020 18:03,28-Dec-2020 18:04,31-Dec-2020 13:27,01-Jan-2021 14:49,01-Jan-2021 19:35,,11-Jan-2021 16:17,4,14,Repeated Orc - 000403 - Orc Closed
Regular,5,Warrantable,Build,1-Oct-2020 16:49,Rear tail lamp bottom screw fouling with lamp mounting bracket,Rear tail lamp bottom screw fouling with lamp mounting bracket,Electrical,,Lamp mounting hole in bracket has to be shifted by 5mm to avoid fouling,,"As per COE & VA, For Temp action Rubber pad can be used & Lamp mounting hole in bracket will be shifted by 5mm to avoid fouling, hence we are closing the ORC.",,,Step 7,10-Oct-2020 16:49,10-Oct-2020 16:49,10-Oct-2020 17:32,20-Oct-2020 11:28,30-Oct-2020 20:30,,03-Nov-2020 15:31,20,24,"As per COE & VA, For Temp action Rubber pad can be used & Lamp mounting hole in bracket will be shifted by 5mm to avoid fouling, hence we are closing the ORC."
Regular,6,,Track,23-Jan-2021 13:6,Diesel leakage observed from fuel tank drain plug,Diesel leakage observed from fuel tank drain plug,Frontal-System,,,,-,,,Obsolete,16-Feb-2021 13:07,16-Feb-2021 13:07,17-Feb-2021 19:10,,,,,,,"Based on COE remarks , Orc has been Obsoleted"
Regular,4,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, ROPS TOP LOOP CONNECTING LOCKPIN UNABLE TO INSERT (R PIN REQUIRED).",NA,Rear-System,ROPS ASSY,"No fitmment issue found, Cotter pin part of I\O procured ROPS not in BEA scope.",,Based on COE Feedback with attached mail ORC is closed.,,,Step 7,17-May-2021 23:55,18-May-2021 02:32,19-May-2021 12:03,25-Jun-2021 14:13,25-Jun-2021 14:16,,15-Jul-2021 10:31,39,59,Based on COE Feedback with attached mail ORC is closed.
Regular,5,Warrantable,Build,1-Oct-2020 12:49,Hood is fouling with LH side P&T lamp mounting bracket while closing,Hood is fouling with LH side P&T lamp mounting bracket while closing,Frontal-System,BRACKETORIES-FD0409,Issue observed due to material mis handling on 1 tractors. No issue in production tractors & design chnage also. Please close the ORC as discussed & agreed with BV team,,As per COE remarks ORC is closed.,,,Step 7,19-Oct-2020 12:51,19-Oct-2020 12:51,19-Oct-2020 19:07,24-Nov-2020 18:36,03-Dec-2020 19:51,,05-Dec-2020 14:03,45,47,
Regular,5,Non Warrantable,Track,26-Dec-2020 18:25,Air cleaner mounting bracket to radiator support plate rubber bush got damage after 100 cycles of RC Test on YNXT 28 HP Tractor,Radiator Top Mounting Bracket Rubber Bush got teared and coming From position - Photos Attached,Engine-Integration,AIR INTAKE SYSTEM-FD060102,"Old design bracket, rubber grommet fitted in tractor. Repeat ORC. To be linked with main ORC - ORC-YUD1-20-000247",,Based on COE Remarks - Orc has been Closed (No Final Parts assembled for validation ),,,Step 7,28-Dec-2020 18:28,28-Dec-2020 18:28,31-Dec-2020 13:22,05-Jan-2021 18:03,06-Jan-2021 20:00,,11-Jan-2021 15:26,9,14,Based on COE Remarks - Orc has been Closed (No Final Parts assembled for validation )
Regular,4,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, FENDER MOUNTING MIDDLE BOLT EXCESS IN LENGTH 55MM IN E-BOM (SPEC- 25MM LENGTH BOLT FITTED).",NA,Rear-System,FENDER ASSEMBLY-FD0407,"Fender and ROPS bolt length is 55mm, Fender and stiffner bolt length 25mm, Please fit according to the layout.",,Based on COE Feedback with attached mail ORC is closed.,,,Step 7,17-May-2021 17:51,18-May-2021 01:59,19-May-2021 13:38,25-Jun-2021 13:52,25-Jun-2021 14:13,,15-Jul-2021 10:28,39,59,Based on COE Feedback with attached mail ORC is closed.
Regular,5,Non Warrantable,Tear-Down,28-Dec-2020 18:17,"In 28hp field validation tractors, we observed propeller shaft guard mounting bolt fell down during testing  at front axle end (observed in Kumbakonam & Nashik tractors)","In 28hp field validation tractors, we observed propeller shaft guard mounting bolt fell down during testing  at front axle end (observed in Kumbakonam & Nashik tractors)",Rear-System,,Lock tight added.,,"In RC test tractor, Loctitte applied and found no loosening. so we are closing this ORC.",,,Step 7,29-Dec-2020 18:19,29-Dec-2020 18:20,30-Dec-2020 10:04,11-Jan-2021 17:58,13-Jan-2021 10:51,,05-Feb-2021 09:15,15,38,"In RC test tractor, Loctitte applied and found no loosening. so we are closing this ORC."
Regular,5,Warrantable,Track,27-Dec-2020 18:37,PTO lever adjustable pin lock nut got loosen after 150 cycles of RC Test on YNXT 28 HP Tractor,PTO Lever Linkage lock nut got loosen - Photo attached,Transmission,SHIFTER SYSTEM,"PTO lever adjustable nut is carryover part from existing 24HP.
There is no such issue observed either from field or earlier RC test of 24HP.
Issue might be related to tightening of the nut.
Nut to be tightened properly and loosening to be checked",,Based on COE Remarks Orc has been closed - Carryover part,,,Step 7,28-Dec-2020 18:39,28-Dec-2020 18:39,31-Dec-2020 13:16,13-Jan-2021 11:07,18-Jan-2021 11:32,,23-Jan-2021 02:28,21,26,Based on COE Remarks Orc has been closed - Carryover part
Regular,6,Non Warrantable,Field,12-10-2020 12:00:00 AM,Y-NXT 28 HP 4WD OIL LEAKAGE OBSERVED FROM BLOW-BY PIPE.,Refer the attached photo in team centre.,Engine,PCV SYSTEM,"Blowby Gases condenses in the blowby pipe, which is natural phenomenon.
Conitnous oil drops are not observed only droplets observed.
Hence requesting for closure",,"As per COE  confirmation, ORC closed.",,,Step 7,13-Oct-2020 14:59,14-Oct-2020 01:34,15-Oct-2020 14:10,08-Dec-2020 11:17,08-Dec-2020 12:45,,12-Dec-2020 14:59,56,60,
Regular,5,Non Warrantable,Track,26-Dec-2020 18:19,Battery base plate  nut got loosen in RH Side after 100 cycles of RC Test on YNXT 28 HP Tractor,Battery base plate  nut got loosen in RH Side,Rear-System,,Lock tight added.,,Based On COE Comments orc has been Closed,,,Step 7,28-Dec-2020 18:20,28-Dec-2020 18:20,31-Dec-2020 13:24,11-Jan-2021 18:00,13-Jan-2021 10:50,,28-Jan-2021 17:41,16,31,Based On COE Comments orc has been Closed
